Country Name,Country Code,Year,Value,Value_EUR,Value_EUR_billions
Belgium,BEL,1999,258245733221.4677,240168531895.965,240.168531895965
Belgium,BEL,2000,236792460312.4711,220216988090.59814,220.21698809059814
Belgium,BEL,2001,236746141604.3704,220173911692.06448,220.17391169206448
Belgium,BEL,2002,258383599375.17697,240296747418.91458,240.29674741891458
Belgium,BEL,2003,318082528506.5876,295816751511.12646,295.8167515111265
Belgium,BEL,2004,369214712443.2056,343369682572.1813,343.36968257218126
Belgium,BEL,2005,385714762230.0388,358714728873.9361,358.7147288739361
Belgium,BEL,2006,408259840868.8229,379681652008.0053,379.6816520080053
Belgium,BEL,2007,470922156309.4525,437957605367.79083,437.95760536779085
Belgium,BEL,2008,517328087920.078,481115121765.67255,481.11512176567254
Belgium,BEL,2009,483254171097.8122,449426379120.9654,449.4263791209654
Belgium,BEL,2010,481420882905.0009,447721421101.6509,447.7214211016509
Belgium,BEL,2011,523330354138.1333,486697229348.464,486.69722934846396
Belgium,BEL,2012,496152879924.7267,461422178329.99585,461.42217832999586
Belgium,BEL,2013,521791015247.0603,485265644179.7661,485.2656441797661
Belgium,BEL,2014,535390200131.0177,497912886121.8465,497.9128861218465
Belgium,BEL,2015,462335574841.4841,429972084602.5802,429.9720846025802
Belgium,BEL,2016,476062757356.9273,442738364341.94244,442.73836434194243
Belgium,BEL,2017,502764720556.3538,467571190117.40906,467.57119011740906
Belgium,BEL,2018,543299066998.9016,505268132308.9785,505.2681323089785
Belgium,BEL,2019,535865804349.80304,498355198045.31683,498.35519804531685
Belgium,BEL,2020,526021513474.2427,489200007531.0457,489.20000753104574
Belgium,BEL,2021,600904461226.3469,558841148940.5027,558.8411489405026
Belgium,BEL,2022,583613982019.263,542761003277.91455,542.7610032779146
Belgium,BEL,2023,632216577075.1093,587961416679.8517,587.9614166798517
Denmark,DNK,1960,6361166312.947516,5915884671.04119,5.91588467104119
Denmark,DNK,1961,7058360972.41925,6564275704.349902,6.564275704349902
Denmark,DNK,1962,7953274451.781939,7396545240.157204,7.396545240157204
Denmark,DNK,1963,8466044671.703268,7873421544.68404,7.87342154468404
